ID,월,일,측정 시간대,섭씨 온도(°⁣C),절대 온도(K),이슬점 온도(°C),상대 습도 (%),대기압(mbar),포화 증기압(mbar),실제 증기압(mbar),증기압 부족량(mbar),수증기 함량 (g/kg),공기 밀도 (g/m**3),풍향 (deg),풍속 (m/s)
TRAIN_00000,7,2,저녁,13.97,287.78,9.84,76.1,992.08,15.98,12.16,3.82,7.66,1198.06,155.6,1.61
TRAIN_00001,8,21,오전,16.94,290.85,12.14,73.3,991.07,19.33,14.17,5.16,8.94,1183.67,177.0,1.68
TRAIN_00002,11,1,저녁,9.76,283.84,5.4,74.2,988.71,12.1,8.98,3.12,5.67,1213.22,146.2,0.73
TRAIN_00003,12,28,오전,5.27,277.3,2.71,83.5,1014.25,8.89,7.43,1.47,4.57,1265.48,264.5,2.71
TRAIN_00004,9,26,오후,17.35,290.86,12.68,74.0,995.77,19.84,14.68,5.16,9.22,1187.4,19.34,1.0
TRAIN_00005,10,19,저녁,6.97,281.24,3.98,81.2,986.35,10.01,8.13,1.88,5.14,1222.76,257.0,1.07
TRAIN_00006,8,20,새벽,16.85,291.23,12.94,77.7,985.38,19.22,14.94,4.29,9.48,1176.86,191.1,0.99
TRAIN_00007,7,3,오전,17.54,291.23,7.57,51.93,993.66,20.08,10.43,9.65,6.55,1186.03,213.7,4.12
TRAIN_00008,2,20,오후,4.44,278.85,0.71,76.6,984.5,8.39,6.43,1.96,4.07,1232.39,208.2,7.02
TRAIN_00009,11,10,저녁,1.66,276.27,0.78,93.8,981.88,6.89,6.46,0.43,4.1,1241.51,228.3,1.58
TRAIN_00010,9,8,오후,27.18,301.61,14.72,46.48,985.36,36.09,16.77,19.31,10.66,1135.55,234.9,2.24
TRAIN_00011,8,14,오전,21.52,295.02,12.93,58.05,995.98,25.72,14.93,10.79,9.38,1170.74,292.7,1.75
TRAIN_00012,11,29,저녁,-6.21,266.5,-7.41,91.1,1005.96,3.84,3.5,0.34,2.16,1310.99,181.1,1.31
TRAIN_00013,12,20,저녁,-2.1,271.2,-4.44,83.9,998.15,5.23,4.39,0.84,2.74,1280.68,197.4,1.88
TRAIN_00014,9,4,새벽,17.81,291.98,11.95,68.54,987.99,20.43,14.0,6.43,8.86,1176.52,167.6,0.98
TRAIN_00015,9,26,오전,13.51,287.0,10.21,80.4,995.95,15.51,12.47,3.04,7.82,1204.55,33.71,0.16
TRAIN_00016,1,26,오전,7.87,281.16,5.1,82.6,998.4,10.64,8.79,1.85,5.5,1233.48,198.3,0.82
TRAIN_00017,2,13,저녁,3.47,279.55,-0.56,74.8,963.87,7.84,5.86,1.97,3.79,1211.03,133.7,2.25
TRAIN_00018,2,3,오후,3.43,277.4,-0.51,75.3,989.85,7.81,5.88,1.93,3.71,1243.91,266.7,1.68
TRAIN_00019,1,23,새벽,-2.95,270.44,-4.92,86.2,997.01,4.91,4.23,0.68,2.65,1283.31,169.4,3.22
TRAIN_00020,6,29,저녁,23.45,297.83,9.81,41.98,985.76,28.91,12.14,16.78,7.69,1152.36,219.1,3.64
TRAIN_00021,4,19,새벽,3.31,276.84,0.61,82.4,995.36,7.75,6.39,1.36,4.0,1251.14,189.6,1.36
TRAIN_00022,3,24,새벽,2.92,277.26,-1.02,75.2,985.26,7.54,5.67,1.87,3.59,1240.51,107.1,0.54
TRAIN_00023,5,21,오후,21.55,295.54,8.81,44.05,990.25,25.76,11.35,14.41,7.16,1165.45,215.3,2.2
TRAIN_00024,6,15,새벽,14.32,289.61,13.24,93.2,974.51,16.34,15.23,1.11,9.78,1173.91,152.9,1.47
TRAIN_00025,8,28,새벽,18.54,292.59,13.47,72.3,989.44,21.38,15.46,5.92,9.78,1174.65,190.5,0.57
TRAIN_00026,6,6,오전,21.79,295.48,16.23,70.7,993.78,26.14,18.48,7.66,11.65,1165.48,56.67,2.01
TRAIN_00027,2,11,새벽,3.15,278.5,0.88,85.0,972.7,7.66,6.51,1.15,4.17,1223.25,236.4,1.93
TRAIN_00028,5,18,새벽,9.28,283.47,3.46,66.86,987.4,11.71,7.83,3.88,4.95,1214.21,222.2,1.1
TRAIN_00029,6,20,오전,11.98,285.4,10.59,91.2,996.86,14.03,12.79,1.23,8.02,1211.97,187.8,0.53
TRAIN_00030,7,5,오후,24.85,299.19,11.35,42.78,986.33,31.45,13.45,17.99,8.53,1147.03,224.7,5.74
TRAIN_00031,8,20,오전,21.81,296.11,15.6,67.81,986.55,26.18,17.75,8.43,11.27,1157.19,140.8,2.04
TRAIN_00032,2,6,저녁,5.65,280.18,2.44,79.8,983.0,9.13,7.29,1.84,4.62,1224.8,196.4,1.79
TRAIN_00033,8,22,오전,15.06,288.33,11.89,81.3,998.69,17.14,13.94,3.21,8.73,1200.71,148.1,1.2
TRAIN_00034,1,3,저녁,-1.47,273.34,-4.64,78.9,978.99,5.48,4.33,1.16,2.75,1253.17,164.0,2.83
TRAIN_00035,2,20,새벽,0.04,273.64,-2.51,82.9,994.37,6.12,5.08,1.05,3.18,1265.49,222.2,3.37
TRAIN_00036,9,3,오전,22.55,296.36,12.7,53.71,992.32,27.38,14.71,12.68,9.27,1162.45,230.0,2.78
TRAIN_00037,5,2,오후,16.17,289.71,4.46,45.67,995.45,18.41,8.41,10.0,5.27,1194.72,87.1,2.02
TRAIN_00038,9,29,새벽,14.92,288.46,10.93,77.0,995.36,16.99,13.08,3.91,8.22,1197.66,179.6,2.24
TRAIN_00039,11,21,저녁,10.78,285.6,4.2,63.72,979.78,12.95,8.25,4.7,5.26,1198.25,173.7,1.89
TRAIN_00040,4,14,저녁,8.19,282.51,5.26,81.7,985.77,10.88,8.89,1.99,5.63,1216.4,215.0,1.44
TRAIN_00041,7,27,오후,23.34,297.46,18.46,74.1,988.72,28.72,21.28,7.44,13.5,1152.2,197.5,1.59
TRAIN_00042,7,23,오전,21.87,295.82,13.73,59.88,990.7,26.27,15.73,10.54,9.94,1162.76,29.81,2.13
TRAIN_00043,3,12,새벽,1.73,274.73,0.49,91.4,1002.07,6.92,6.33,0.6,3.94,1266.86,33.39,3.26
TRAIN_00044,8,4,오후,23.39,297.76,14.93,59.0,985.9,28.81,17.0,11.81,10.79,1150.6,203.7,3.06
TRAIN_00045,2,17,새벽,-1.15,271.44,-3.62,83.2,1007.36,5.62,4.67,0.94,2.89,1287.84,34.51,3.14
TRAIN_00046,3,14,오전,-0.72,271.8,-2.57,87.2,1008.32,5.8,5.05,0.74,3.12,1286.84,58.6,3.32
TRAIN_00047,12,19,오후,3.17,276.11,-0.22,78.3,1002.89,7.68,6.01,1.67,3.74,1261.43,91.6,1.9
TRAIN_00048,8,31,오후,25.54,299.2,7.1,30.81,994.18,32.76,10.09,22.67,6.34,1155.02,134.2,1.96
TRAIN_00049,4,30,새벽,1.7,275.59,-0.3,86.5,990.85,6.91,5.98,0.93,3.76,1252.94,209.4,1.06
TRAIN_00050,4,22,새벽,4.97,278.7,2.15,81.9,992.86,8.71,7.13,1.58,4.48,1240.2,189.2,0.58
TRAIN_00051,8,9,새벽,17.34,291.1,11.22,67.25,992.8,19.83,13.34,6.49,8.4,1184.5,265.5,0.81
TRAIN_00052,7,5,오후,24.4,298.76,12.22,46.55,986.08,30.61,14.25,16.36,9.04,1148.12,254.0,4.95
TRAIN_00053,3,15,오후,3.7,277.01,1.11,83.1,998.19,7.97,6.62,1.35,4.14,1252.82,49.47,3.5
TRAIN_00054,1,1,새벽,-1.69,271.5,-1.98,97.9,999.57,5.39,5.28,0.11,3.29,1280.12,210.9,0.81
TRAIN_00055,5,24,새벽,12.45,287.04,11.24,92.3,982.67,14.47,13.35,1.11,8.5,1192.41,251.5,4.86
